id	Arch	Site	FDI notation of fully/partially visible teeth
307	Lower	Left	34,35,36,37
310	Upper	Anterior	12,11,21,22,23
311	Lower	Left	34,35,36,37
313	Lower	Left	34,35,36,37,38
314	Lower	Right	44,45,46,47,48
315	Lower	Right	44,45,46,47,48
317	Lower	Right	43,44,45,46,47
325	Lower	Left	35,36,37,38
327	Lower	Left	34,36,37,38
328	Lower	Right	45,46,47,48
329	Lower	Left	33,34,35,37,38
332	Upper	Anterior	12,11,21,22,23
333	Lower	Right	42,43,44,45
334	Lower	Anterior	42,41,31,32,33,34
335	Upper	Anterior	13,12,11,21,22
337	Upper	Anterior	14,13,12,11,21
338	Upper	Left	22,23,24,25,26,27
339	Lower	Right	44,45,46,47,48
340	Upper	Anterior	12,11,21,22
341	Upper	Left	21,22,23,24,25
343	Upper	Anterior	14,13,12,11
344	Upper	Right	14,15,16,17
345	Lower	Right	45,47,48
347	Upper	Right	12,13,14,15,16,17
348	Lower	Left	33,34,35,36,37,38
349	Upper	Left	11,21,22,23,24
351	Lower	Right	44,45,46,47,48
354	Lower	Right	43,44,45,46,47
355	Upper	Left	22,23,24
356	Upper	Left	24,25,26,27,28
358	Upper	Left	23,24,25,26,27
360	Upper	Left	23,24,25,26
361	Lower	Anterior	43,42,41,31,32,33
365	Lower	Right	42,43,44,45
366	Upper	Right	13,12,11
371	Upper	Right	14,13,12,11
372	Lower	Right	45,46,47,48
374	Lower	Left	37,38
375	Upper	Left	23,24,25,26,27
377	Upper	Right	13,14,15,16,17
378	Upper	Left	24,25,26,27
380	Upper	Right	13,14,15,17
382	Upper	Right	14,15,16,17
386	Upper	Anterior	11,21,22,23
389	Lower	Right	43,44,45,46,47
390	Lower	Right	45,47,48
391	Upper	Left	24,25,27
392	Lower	Right	43,44,45,46,47,48
393	Upper	Right	13,14,15,17
394	Lower	Left	35,36,37,38
395	Upper	Left	24,25,26,27,28
396	Upper	Left	27,28
397	Upper	Left	23,24,25,26,27,28
400	Upper	Left	21,23,24,26,27
403	Lower	Right	44,45,46,47,48
406	Upper	Anterior	11,21,22,23
407	Lower	Right	44,45,47,48
409	Upper	Right	13,14,15,16,17
410	Upper	Right	14,15,17,18
411	Upper	Anterior	13,12,11,21,22
413	Lower	Anterior	42,41,31,32,33
415	Upper	Left	23,24,25,26,27,28
417	Lower	Right	44,45,46,47,48
418	Upper	Left	23,24,25,26,27
419	Lower	Right	45,47,48
420	Upper	Right	13,14,15,16,17
422	Upper	Anterior	12,11,21,22
424	Lower	Left	35,36,37,38
427	Upper	Anterior	13,12,11,21,22
428	Upper	Anterior	12,11,21,22
430	Lower	Left	34,35,36,37,38
431	Upper	Anterior	13,12,11,21,22
432	Lower	Left	35,36,37
434	Upper	Left	11,21,22,23,24
438	Upper	Right	13,14,15,16,18
440	Lower	Left	35,36,37,38
441	Upper	Right	14,15,16,17,18
442	Lower	Right	45,46,47,48
443	Lower	Right	44,45,46,47,48
446	Upper	Anterior	11,21,22,23
447	Upper	Left	24,25,26,27,28
448	Lower	Left	34,35,36,37
449	Lower	Left	35,36,37,38
451	Upper	Right	13,14,15,16,17
452	Lower	Right	45,46,47,48
453	Upper	Anterior	12,11,21,22,23
456	Lower	Right	31,41,42,43,44,45
458	Upper	Left	22,23,25
459	Upper	Left	26,28
460	Lower	Right	45,46,47,48
461	Lower	Left	34,36,37,38
462	Lower	Left	35,37,38
464	Lower	Left	33,34,35,36,38
465	Upper	Left	23,25,28
467	Lower	Left	24,25,26,27,28
468	Upper	Left	24,25,27,28
469	Lower	Right	46,47,48
470	Upper	Right	13,14,15,16,17
471	Lower	Right	44,45,46,47,48
472	Lower	Left	45,46,47,48
473	Lower	Right	45,46,47,48
474	Lower	Right	45,46,47,48
475	Upper	Right	11,12,13,15
481	Lower	Right	45,46,47,48
483	Upper	Left	23,24,25,26,27
484	Upper	Left	23,24,25,26,27,28
485	Upper	Left	23,24,25,26,27
488	Upper	Right	13,14,15
489	Upper	Left	32,33,34
490	Lower	Left	31,32,33
491	Lower	Right	42,43,44
492	Upper	Left	22,23,24,25,26
493	Lower	Right	43,44,45
494	Lower	Left	32,33,34,35
495	Upper	Right	12,13
496	Lower	Left	22,23,25
498	Lower	Right	47,48
499	Upper	Right	14,16
500	Upper	Left	11,21,22,23,24
501	Upper	Left	11,21,22,24
503	Upper	Right	14,15,16,17,18
504	Lower	Left	37
505	Upper	Anterior	13,11,21
506	Lower	Left	33,34,35,37,38
508	Lower	Right	45,46,47,48
509	Upper	Anterior	12,11,21,22
510	Lower	Right	46,47,48
511	Lower	Left	35,36,37,38
513	Lower	Left	35,36,37,38
514	Lower	Left	35,36,37,38
515	Upper	Right	14,15,16,17,18
516	Lower	Right	43,44,45,46,47,48
519	Lower	Right	45,46,47,48
520	Lower	Left	34,35,36,37
521	Lower	Left	33,34,35,36,37
523	Lower	Right	44,45,46,48
524	Upper	Left	13,14,15,16,17
525	Lower	Left	33,34,35,36,37
526	Lower	Left	34,36,37
527	Lower	Left	36,37,38
528	Upper	Left	34,35,36,38
529	Lower	Left	35,36,37,38
530	Lower	Right	45,46,47,48
531	Lower	Left	35,36,37,38
532	Lower	Right	46,47,48
533	Lower	Anterior	42,41,32,33,34
534	Lower	Right	45,46,47,48
536	Upper	Right	14,15,16,17
537	Upper	Anterior	21,22,23
538	Lower	Anterior	43,42,41,31,32,33
539	Lower	Right	45,46,47
540	Lower	Left	34,35,36,37
541	Upper	Left	21,22,23,25
542	Upper	Left	34,35,36,37
543	Lower	Right	31,41,42,43
544	Upper	Right	14,15,16,17
545	Upper	Anterior	11,12,13,14
546	Upper	Anterior	12,11,21,22
547	Upper	Anterior	13,12,11,21,22,23
548	Lower	Right	45,46,47,48
549	Lower	Left	35,36,37,38
550	Lower	Right	46,47,48
552	Upper	Left	24,25,26
553	Upper	Left	25,26,27
554	Lower	Left	35,36,37,38
555	Upper	Right	13,14,15,16
556	Upper	Right	15,16,17,18
557	Lower	Left	32,33,34
558	Upper	Anterior	12,11,21,22
559	Upper	Right	11,12,13
560	Lower	Anterior	43,42,41,31,32,33
561	Lower	Left	33,34,35,37,38
562	Upper	Anterior	14,13,12,11,21
563	Upper	Anterior	13,12,11,21,22
564	Upper	Anterior	13,12,11,21,22
565	Lower	Right	44,45,46,47,48
566	Lower	Right	43,44,45,46
567	Lower	Right	43,44,45,46
568	Upper	Anterior	12,11,21,22
569	Upper	Anterior	12,11,21,22,23
570	Upper	Right	16,17,18
571	Lower	Right	44,45,46,47,48
572	Upper	Right	12,11,21,22
573	Lower	Right	43,44
574	Lower	Left	31,32,33,35
576	Upper	Right	13,14,15,16,17,18
577	Lower	Right	43,44,45,46
578	Upper	Anterior	21,11
580	Lower	Left	37
581	Lower	Anterior	43,42,41,31,32,33
583	Lower	Right	45,46,47,48
584	Lower	Right	41,42,43,44,45
585	Lower	Anterior	44,43,42,41,31,32
586	Lower	Right	45,46,47,48
588	Lower	Left	31,32,33,34,35
589	Lower	Anterior	43,42,41,31,32,33
590	Upper	Anterior	12,11,21,22,23
591	Upper	Anterior	12,11,21,22
592	Lower	Right	43,44,45,46
593	Upper	Left	11,21,22,23,24,25
596	Lower	Right	44,45,47,48
598	Lower	Left	35,38
599	Lower	Right	43,42,44
601	Upper	Right	12,13,14,15,16,17
603	Upper	Left	24,25,26
604	Lower	Anterior	43,42,41,31,32,33,34
606	Lower	Anterior	43,42,41,31,32,33
607	Lower	Left	35,36,37,38
608	Lower	Left	34,35,37
609	Upper	Right	13,14,15,16,18
611	Upper	Anterior	11,13
612	Upper	Left	22,23
613	Lower	Anterior	32,33
614	Lower	Right	45,47,48
615	Lower	Anterior	43,42,41,31,32
616	Lower	Anterior	44,43,42,41,31,32,33
617	Lower	Right	44,45,46,47
619	Lower	Right	44,45,46,47,48
620	Upper	Anterior	13,12,11,21,22,23
621	Lower	Left	32,33
622	Upper	Anterior	12,11,21,22,23
623	Lower	Right	44,45,46,47,48
624	Upper	Left	24,25,27
625	Lower	Left	34,35,36,37
626	Upper	Right	13,14,15
627	Upper	Anterior	12,11,21,22
629	Upper	Anterior	11,21,22,23,24
630	Upper	Right	15,16,17,18
631	Lower	Right	45,46,47
633	Lower	Right	45,46,47,48
635	Upper	Anterior	11,21,22,24
636	Upper	Left	24,25,26,27,28
637	Upper	Anterior	13,12,11,21,22
638	Upper	Left	23,24,25,26,27,28
639	Upper	Anterior	13,12,11,21,22,23
640	Upper	Right	13,14,15,16,17,18
641	Lower	Right	44,45,46,47
643	Upper	Anterior	23,22,21,11
644	Lower	Right	44,45,46,47,48
645	Lower	Right	44,47,48
646	Lower	Left	37,38
647	Lower	Anterior	42,41,31,32,33
649	Lower	Right	34,35,36,38
650	Lower	Left	31,32,33,34,35
651	Upper	Left	21,22,23,24
652	Upper	Right	14,15,17
653	Upper	Left	25,27,28
654	Upper	Anterior	12,11,21,22
657	Lower	Left	37,38
658	Upper	Anterior	12,11,21,22
659	Lower	Left	34,35,36,37,38
661	Lower	Right	41,42,43,44,45
662	Lower	Anterior	41,42,31,32,33,34,35
663	Upper	Right	13,14,15
665	Upper	Left	24,25,26
666	Upper	Right	13,16,17
667	Lower	Anterior	41,31,32,33,34
669	Lower	Left	34,35,37
670	Upper	Anterior	11,21,22,23
671	Upper	Anterior	12,11,21
672	Upper	Right	15,16,17,18
673	Upper	Left	23,24,25,27,28
674	Lower	Right	47,48
675	Lower	Left	33,34,35,36,37,38
676	Upper	Right	14,15,16,17,18
677	Upper	Right	14,15,16,17,18
678	Lower	Right	43,44,45,46,47
679	Upper	Anterior	12,11,21,22,23
680	Upper	Left	23,24,25,26,27
682	Lower	Right	44,45,46,47,48
683	Lower	Anterior	31,41,42,43,45
685	Lower	Left	37,38
686	Lower	Right	47,48
687	Lower	Right	42,43,44,45,46,47
689	Lower	Left	34,35,36,37,38
690	Lower	Left	34,35,36,37,38
692	Lower	Right	46,47,48
694	Lower	Right	45,46,47,48
695	Upper	Left	28
696	Upper	Anterior	11,21,22,23
697	Upper	Left	23,24,25,26
698	Lower	Right	44,45,47
699	Lower	Anterior	43,42,41,31,32,33
700	Lower	Anterior	33,32,31,41,42,43
701	Lower	Left	35,36,37,38
702	Lower	Right	41,42,43,44,45
703	Lower	Right	44,45
704	Upper	Anterior	12,11,21,23,24
705	Lower	Anterior	43,42,41,31,32,33,34
708	Lower	Left	34,35,37,38
709	Upper	Right	12,13,14,15,16
712	Lower	Left	35,36,37,38
713	Upper	Right	13,14,15,16,17,18
715	Lower	Left	37,38
716	Lower	Right	44,45,46
717	Lower	Right	44,45,46,47,48
718	Lower	Left	34,35,36,37,38
719	Upper	Right	13,14,15,16,17,18
720	Lower	Right	46,47,48
721	Lower	Anterior	44,43,42,41,31,32,33,34
722	Upper	Left	22,23,24,25,27
723	Upper	Right	13,14,15,16,17,18
724	Lower	Right	45,46,47,48
725	Lower	Anterior	42,41,31,32
726	Lower	Left	34,35,36
727	Upper	Right	13,14,15,16,17,18
728	Lower	Right	45,46,47,48
729	Upper	Left	25,26,27,28
730	Upper	Left	24,26,27,28
731	Lower	Right	45,46,47
732	Upper	Anterior	13,12,11,21,22,23
733	Upper	Right	13,14,15,16,17,18
734	Lower	Right	36,37,38
735	Upper	Left	23,24,25,26,28
736	Upper	Anterior	13,12,11,21
738	Lower	Anterior	43,42,41,31,32
739	Lower	Anterior	43,42,41,31,32,33,34
742	Lower	Right	47,48
743	Lower	Left	36,37,38
744	Lower	Right	44,45,46,47,48
745	Lower	Right	43,44,45,46,47
746	Upper	Right	14,13,12,11
747	Lower	Left	37,38
749	Upper	Right	13,14,15,17,18
750	Lower	Left	33,34,35
751	Upper	Left	32,33,34,35,36
753	Lower	Right	44,43,42,41
755	Lower	Right	43,44,46
756	Lower	Left	35,36
757	Upper	Left	23,24,25,26,27
759	Lower	Anterior	43,42,41,31,32,33
761	Upper	Left	25,26,27
762	Upper	Right	45,44,43,42,32
764	Upper	Anterior	12,11,21,22,23
765	Lower	Left	37,38
767	Upper	Right	14,15,16,17
768	Lower	Left	35,36,37,38
769	Lower	Left	36,37,38
771	Lower	Right	45,47
772	Lower	Right	44,45,46,47,48
773	Lower	Left	41,42,43,44,45
774	Lower	Right	37
775	Lower	Left	37,38
776	Lower	Anterior	44,43,42,41,31,32,33
777	Lower	Anterior	14,13,12,11,21
779	Upper	Left	23,24,25,26,27,28
782	Upper	Anterior	11,21,22,23,24
784	Lower	Left	35,36,37,38
785	Lower	Anterior	43,42,41,31,32,33
786	Lower	Left	35,36,37,38
787	Upper	Left	24,25,26,27,28
788	Lower	Right	44,45,47
789	Lower	Left	42,41,32,33,34
791	Lower	Left	35,36,37,38
793	Lower	Left	24,25,26,27
794	Lower	Left	35,36,37
795	Lower	Anterior	33,32,31,41,42,43
796	Lower	Left	31,32,33,34
797	Lower	Left	34,35,36,37
799	Lower	Anterior	43,42,41,31,32,33
801	Lower	Left	36,37,38
802	Lower	Left	35,36,37,38
803	Upper	Anterior	14,13,12,11,21
804	Lower	Anterior	43,42,41,31,32,33
805	Upper	Anterior	13,12,11,21,22
806	Upper	Right	15,16,17
807	Upper	Anterior	12,11,21,22
808	Upper	Anterior	12,11,21,22,23
809	Upper	Anterior	13,12,21,22
810	Lower	Anterior	43,42,41,31,32
811	Lower	Right	41,42,43,44,45
812	Lower	Right	44,45,46,47
813	Lower	Anterior	44,43,42,41,31,32
814	Lower	Left	34,35,36,37,38
815	Upper	Anterior	11,21,22,23,24
817	Upper	Anterior	13,12,11,21,22,23
818	Upper	Anterior	13,12,11
820	Lower	Anterior	43,42,41,31,32,33
822	Lower	Right	46,47,48
823	Upper	Anterior	11,21,22,23,24
824	Upper	Anterior	11,21,22,23
825	Lower	Right	43,44,45,46,47
826	Lower	Anterior	44,43,42,41,31,32
827	Upper	Left	25,26,27
828	Upper	Left	21,22,23,24,25
829	Lower	Right	45,46,47
830	Lower	Right	45,46,47,48
831	Upper	Left	13,14,15,16,17,18
832	Lower	Anterior	43,41,31,32,33
833	Lower	Left	36,37,38
834	Lower	Left	33,34,35,37
835	Lower	Right	43,44,45
836	Upper	Left	25,26,27
837	Lower	Right	45,46,47,48
838	Lower	Right	45,46,47,48
839	Lower	Left	24,25,26,27,28
840	Upper	Anterior	13,12,11,21,22
841	Lower	Anterior	43,42,41,32
842	Lower	Left	41,42,43,44
843	Upper	Right	12,13,14
844	Upper	Left	24,25,26,27
845	Lower	Left	35,36,37
846	Upper	Right	12,13,14,16
847	Lower	Anterior	44,43,42,41
848	Lower	Left	33,34
849	Upper	Anterior	12,11,21,22
850	Lower	Right	45,46,47,48
851	Upper	Right	13,14,15,16,17,18
852	Lower	Left	35,36,37,38
853	Lower	Left	35,36,37,38
854	Upper	Anterior	12,11,21,22,23
856	Upper	Left	15,16,17
857	Upper	Right	13,14,15,16,17
858	Upper	Left	23,24,25,26,27
859	Lower	Anterior	43,42,41,31,32,33
860	Lower	Anterior	44,43,42,41,31,32,33
861	Lower	Right	47,48
862	Lower	Right	45,44,43,42,41
863	Upper	Left	41,32,31,33,34,35
865	Lower	Left	31,32,33,34,35
866	Lower	Left	35,36,37,38
867	Upper	Anterior	12,11,21,22,23,24
868	Lower	Left	35,36,37,38
869	Lower	Left	33,34,35,36
871	Lower	Right	41,42,43,44,45
873	Upper	Left	11,21,22,23
874	Upper	Left	24,25,26,28
875	Upper	Left	27,28
877	Upper	Right	12,13,14,15,16,17
879	Lower	Right	46,47,48
880	Lower	Right	46,47,48
881	Lower	Anterior	43,42,41,31,32,33
884	Lower	Left	35,36,37,38
885	Lower	Right	45,46,47,48
886	Upper	Left	23,24,26,27,28
887	Lower	Anterior	43,42,41,31,32,33
888	Upper	Right	13,14,15,16,17
889	Lower	Left	32,33,34
890	Lower	Right	46,47,48
892	Upper	Anterior	12,11,21,22
893	Lower	Right	45,46,47,48
894	Lower	Right	45,46,47,48
895	Lower	Right	46,47,48
896	Upper	Anterior	11,21,22,23,24
897	Lower	Right	44,45,46,47,48
898	Lower	Left	35,36,37,38
899	Upper	Right	14,13,12,11,21
900	Lower	Right	46,47,48
901	Lower	Left	35,36,37,38
902	Upper	Anterior	13,12,11,21,22,23
903	Upper	Anterior	14,13,12,11,21
904	Upper	Right	11,12,13,15
905	Upper	Right	13,14,15,16,17,18
906	Upper	Right	13,14,15,16,17
907	Lower	Right	43,44,45
908	Upper	Left	34,35,36,38
910	Upper	Left	24,25,26,27
912	Upper	Left	24,25,26,27
913	Upper	Right	15
914	Upper	Right	12,13,14,15,16,17
915	Upper	Anterior	12,11,21
916	Upper	Right	24,25,26,27,28
919	Upper	Right	45,46,47
921	Upper	Anterior	14,13,12,11,21,22,23
922	Lower	Anterior	43,42,41,31,32,33
923	Upper	Right	13,14,15,16,17,18
924	Lower	Anterior	43,42,41,31,32,33
926	Lower	Anterior	44,43,42,31,32,33
927	Lower	Left	35,36,37
928	Lower	Anterior	43,42,41,31,32,33
930	Lower	Right	45,46,47,48
932	Upper	Anterior	11,21,22,23
933	Lower	Right	45,46,47
935	Upper	Right	13,14,15
936	Upper	Left	25,26,28
937	Upper	Right	14,15,16,17,18
938	Upper	Right	23,24,25,26,27
939	Lower	Left	35,36,37,38
940	Upper	Right	13,14,15,16,17
941	Upper	Anterior	12,11,21,22
942	Upper	Right	12,13,14,15,16,17,18
944	Upper	Left	24,25,26,27,28
945	Upper	Left	24,25,26
946	Lower	Right	47,48
947	Lower	Left	36,37,38
948	Upper	Left	23,24,25,26,27
949	Lower	Left	33,34,35,36,37
951	Upper	Left	23,24,25,27
952	Lower	Left	37,38
954	Lower	Left	34,35,37,38
955	Lower	Right	45,46,47,48
956	Upper	Left	23,24,25,26,27,28
957	Lower	Right	45,47,48
959	Upper	Left	11,21,22,23,24
960	Lower	Left	34,35,36,37,38
961	Lower	Right	46,48
962	Upper	Anterior	14,13,12,11,21,22
963	Lower	Right	44,45,46,47,48
964	Upper	Right	13,14,15,16
966	Lower	Left	34,35,36,37,38
967	Lower	Right	44,45,46,47
968	Lower	Left	35,36,37,38
969	Upper	Left	24,25,26,27,28
970	Lower	Right	45,46,47,48
971	Upper	Right	13,14,15,16,17,18
972	Lower	Right	44,45,47,48
973	Lower	Left	35,36,37,38
974	Lower	Right	44,45,46,47
975	Lower	Left	37,38
976	Lower	Right	44,45,46
978	Lower	Anterior	43,42,41,31,32,33,34
979	Lower	Right	42,43,44,45,46
980	Upper	Left	23,24,25,26,27,28
981	Upper	Left	23,24,26,27
982	Upper	Anterior	12,11,21,22,23
983	Upper	Right	15,16,17,18
984	Upper	Left	24,25,26,27,28
985	Upper	Right	15,16,17,18
986	Lower	Left	34,35,36,37,38
987	Upper	Right	16,17,18
988	Upper	Right	15,16,17,18
990	Lower	Left	33,34,35,36
991	Lower	Right	46,47,48
992	Lower	Right	45,46,47,48
993	Lower	Right	46,47,48
994	Lower	Left	37,38
996	Upper	Left	25,26,27,28
997	Lower	Anterior	42,41,31,32,33,34
998	Lower	Right	44,45,46,47,48
999	Lower	Right	45,46,47
1000	Upper	Anterior	12,11,21
1001	Lower	Right	44,45,46,47
1002	Lower	Left	24,26,27,28
1003	Upper	Anterior	13,12,11,21,22
1004	Lower	Right	45,46,47
1005	Upper	Anterior	12,11,21,22,23
1006	Lower	Left	32,33,34,35
1007	Upper	Anterior	13,12,11,21,22
1008	Lower	Right	46,47,48
1009	Lower	Left	31,32,33,34,36
1010	Lower	Right	44,45,46,47,48
1011	Upper	Left	24,25,26,27,28
1012	Lower	Left	34,35,36,37,38
1014	Upper	Left	24,25,26,27,28
1015	Upper	Right	14,15,16,17
1016	Lower	Left	33,34,35,36,38
1017	Upper	Left	25,26,27
1018	Lower	Left	35,36,37
1019	Lower	Left	34,35,36,37
1020	Lower	Right	46,47,48
1021	Lower	Right	45,46,47,48
1023	Lower	Right	45,46,47,48
1024	Lower	Anterior	44,43,42,41,31,32,33
1025	Upper	Left	24,25,26,27,28
1026	Lower	Anterior	42,41,31,32,33,34
1027	Lower	Left	34,35,36,37
